0,"0.028*""research"" + 0.026*""field"" + 0.024*""univers"" + 0.023*""lectur"" + 0.022*""assist"" + 0.022*""studi"" + 0.017*""academ"" + 0.017*""student"" + 0.015*""work"" + 0.014*""exam"""
1,"0.036*""engin"" + 0.028*""design"" + 0.023*""system"" + 0.020*""perform"" + 0.019*""develop"" + 0.016*""test"" + 0.013*""product"" + 0.010*""equip"" + 0.010*""technician"" + 0.010*""ensur"""
2,"0.023*""repair"" + 0.022*""use"" + 0.022*""assembl"" + 0.022*""equip"" + 0.020*""metal"" + 0.018*""machin"" + 0.017*""electr"" + 0.016*""instal"" + 0.015*""tool"" + 0.012*""part"""
3,"0.032*""student"" + 0.029*""specialis"" + 0.025*""educ"" + 0.022*""school"" + 0.020*""shop"" + 0.019*""teacher"" + 0.016*""assist"" + 0.014*""instruct"" + 0.014*""provid"" + 0.012*""practic"""
4,"0.059*""product"" + 0.026*""oper"" + 0.024*""process"" + 0.021*""machin"" + 0.016*""materi"" + 0.013*""import"" + 0.013*""good"" + 0.012*""export"" + 0.011*""custom"" + 0.010*""maintain"""
5,"0.017*""develop"" + 0.016*""manag"" + 0.015*""client"" + 0.013*""polici"" + 0.013*""organis"" + 0.012*""provid"" + 0.011*""commun"" + 0.010*""compani"" + 0.010*""market"" + 0.009*""financi"""
6,"0.036*""manag"" + 0.033*""oper"" + 0.020*""ensur"" + 0.015*""activ"" + 0.015*""plan"" + 0.013*""supervis"" + 0.013*""distribut"" + 0.012*""perform"" + 0.012*""equip"" + 0.012*""product"""
7,"0.030*""use"" + 0.015*""creat"" + 0.014*""artist"" + 0.014*""materi"" + 0.013*""design"" + 0.011*""patient"" + 0.011*""wood"" + 0.011*""work"" + 0.009*""art"" + 0.009*""may"""
8,"0.023*""servic"" + 0.017*""provid"" + 0.016*""custom"" + 0.013*""ensur"" + 0.011*""care"" + 0.010*""assist"" + 0.009*""prepar"" + 0.009*""food"" + 0.009*""clean"" + 0.009*""safeti"""
9,"0.018*""oper"" + 0.016*""mould"" + 0.012*""machin"" + 0.011*""music"" + 0.011*""master"" + 0.010*""perform"" + 0.009*""natur"" + 0.009*""danc"" + 0.009*""press"" + 0.009*""specif"""
